bar,tempo,meter,beat,clickdb,action 0,action 1,action 2,action 3,comments,,
82,,,2,,h,,,,,,
82,,,3,,,h,,,,,
82,,,4,,,,h,,,,
83,,5,1,,,,,h,,,
83,,,2,,h,,,,,,
83,,,3,,,h,,,,,
83,,,4,,,,h,,,,
83,,,5,,,,,h,,,
84,537.6,2,1,,h,,,,,,
84,,,2,,,h,,,,,
85,448,4,1,,,,h,,,,
85,,,2,,,,,h,,,
85,,,3,,h,,,,,,
85,,,4,,,h,,,,,
86,,,1,,,,h,,,,
86,,,2,,,,,h,,,
86,,,3,,h,,,,,,
86,,,4,,,h,,,,,
87,537.6,3,1,,,,h,,,,
87,,,2,,,,,h,,,
87,,,3,,h,,,,,,
88,448,4,1,,,h,,,,,
88,,,2,,,,h,,,,
88,,,3,,,,,h,,,
88,,,4,,h,,,,,,
89,,,1,,,h,,,,,
89,,,2,,,,h,,,,
89,,,3,,,,,h,,,
89,,,4,,h,,,,,,
90,537.6,3,1,,,h,,,,,
90,,,2,,,,h,,,,
90,,,3,,,,,h,,,
91,448,4,1,,h,,,,,,
91,,,2,,,h,,,,,
91,,,3,,,,h,,,,
91,,,4,,,,,h,,,
92,,,1,,h,,,,,,
92,,,2,,,h,,,,,
92,,,3,,,,h,,,,
92,,,4,,,,,h,,,
93,537.6,3,1,,h,,,,,,
93,,,2,,,h,,,,,
93,,,3,,,,h,,,,
94,448,5,1,,,,,h,,,
94,,,2,,h,,,,,,
94,,,3,,,h,,,,,
94,,,4,,,,h,,,,
94,,,5,,,,,h,,,
95,537.6,2,1,,h,,,,,,
95,,,2,,,h,,,,,
96,448,6,1,,,,h,,,,
96,,,2,,,,,h,,,
96,,,3,,h,,,,,,
96,,,4,,,h,,,,,
96,,,5,,,,h,,,,
96,,,6,,,,,h,,,
97,537.6,4,1,,h,,,,,,
97,,,2,,,h,,,,,
97,,,3,,,,h,,,,
97,,,4,,,,,h,,,
98,448,5,1,,h,,,,,,
98,,,2,,,h,,,,,
98,,,3,,,,h,,,,
98,,,4,,,,,h,,,
98,,,5,,h,,,,,,
99,537.6,3,1,,,h,,,,,
99,,,2,,,,h,,,,
99,,,3,,,,,h,,,
100,448,5,1,,h,,,,,,
100,,,2,,,h,,,,,
100,,,3,,,,h,,,,
100,,,4,,,,,h,,,
100,,,5,,h,,,,,,
101,537.6,4,1,,,h,,,,,
101,,,2,,,,h,,,,
101,,,3,,,,,h,,,
101,,,4,,h,,,,,,
102,448,5,1,,,h,,,,,
102,,,2,,,,h,,,,
102,,,3,,,,,h,,,
102,,,4,,h,,,,,,
102,,,5,,,h,,,,,
103,537.6,3,1,,,,h,,,,
103,,,2,,,,,h,,,
103,,,3,,h,,,,,,
104,448,5,1,,,h,,,,,
104,,,2,,,,h,,,,
104,,,3,,,,,h,,,
104,,,4,,h,,,,,,
104,,,5,,,h,,,,,
105,537.6,4,1,,,,h,,,,
105,,,2,,,,,h,,,
105,,,3,,h,,,,,,
105,,,4,,,h,,,,,
106,448,,1,,,,h,,,,
106,,,2,,,,,h,,,
106,,,3,,h,,,,,,
106,,,4,,,h,,,,,
107,537.6,,1,,,,h,,,,
107,,,2,,,,,h,,,
107,,,3,,h,,,,,,
107,,,4,,,h,,,,,
108,448,3,1,,,,h,,,,
108,,,2,,,,,h,,,
108,,,3,,h,,,,,,
109,537.6,5,1,,,h,,,,,
109,,,2,,,,h,,,,
109,,,3,,,,,h,,,
109,,,4,,h,,,,,,
109,,,5,,,h,,,,,
110,448,3,1,,,,h,,,,
110,,,2,,,,,h,,,
110,,,3,,h,,,,,,
111,537.6,5,1,,,h,,,,,
111,,,2,,,,h,,,,
111,,,3,,,,,h,,,
111,,,4,,h,,,,,,
111,,,5,,,h,,,,,
112,448,3,1,,,,h,,,,
112,,,2,,,,,h,,,
112,,,3,,h,,,,,,
113,537.6,5,1,,,h,,,,,
113,,,2,,,,h,,,,
113,,,3,,,,,h,,,
113,,,4,,h,,,,,,
113,,,5,,,h,,,,,
114,448,3,1,,,,h,,,,
114,,,2,,,,,h,,,
114,,,3,,h,,,,,,
115,537.6,5,1,,,h,,,,,
115,,,2,,,,h,,,,
115,,,3,,,,,h,,,
115,,,4,,h,,,,,,
115,,,5,,,h,,,,,
116,448,2,1,,,,h,,,,
116,,,2,,,,,h,,,
117,537.6,5,1,,h,,,,,,
117,,,2,,,h,,,,,
117,,,3,,,,h,,,,
117,,,4,,,,,h,,,
117,,,5,,h,,,,,,
118,448,2,1,,,h,,,,,
118,,,2,,,,h,,,,
119,537.6,5,1,,,,,h,,,
119,,,2,,h,,,,,,
119,,,3,,,h,,,,,
119,,,4,,,,h,,,,
119,,,5,,,,,h,,,
120,448,2,1,,h,,,,,,
120,,,2,,,h,,,,,
121,432,,1,,,,h,,,,
121,,,2,,,,,h,,,
122,537.6,5,1,,h,,,,,,
122,,,2,,,h,,,,,
122,,,3,,,,h,,,,
122,,,4,,,,,h,,,
